"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 07 17:41:50 EET 2020","Mon Dec 07 17:42:00 EET 2020","9905","Regresion","Test suit End To End flow  tests","com.crashcourse.AddNewCurrencyTest","com.crashcourse.AddNewCurrencyTest","addNewCurrency","addNewCurrency",""
"passed","Mon Dec 07 17:41:35 EET 2020","Mon Dec 07 17:41:44 EET 2020","9766","Regresion","Test suit End To End flow  tests","com.crashcourse.UserLogoutTest","com.crashcourse.UserLogoutTest","logoutUser","logoutUser",""
